time,ir,red
20250515-151825,22,39
20250515-151826,12,93
20250515-151827,93,32
20250515-151828,10,33
20250515-151829,35,6
20250515-151830,8,95
20250515-151831,68,39
20250515-151832,83,1
20250515-151833,4,34
20250515-151834,10,25
20250515-151835,46,29
20250515-151836,75,27
20250515-151837,26,6
20250515-151838,94,93
20250515-151839,82,72
20250515-151840,80,71
20250515-151841,75,92
20250515-151842,84,93
20250515-151843,5,64
20250515-151844,35,1
20250515-151845,54,10
20250515-151846,61,78
20250515-151847,60,88
20250515-151848,30,88
20250515-151849,15,1
20250515-151850,25,99
20250515-151851,86,23
20250515-151852,62,33
20250515-151853,28,76
20250515-151854,82,53
