time,ir,red
20250515-061606,63,33
20250515-061607,21,84
20250515-061608,98,3
20250515-061609,97,3
20250515-061610,46,16
20250515-061611,93,58
20250515-061612,14,10
20250515-061613,41,58
20250515-061614,81,55
20250515-061615,69,80
20250515-061616,0,31
20250515-061617,21,87
20250515-061618,50,52
20250515-061619,55,67
20250515-061620,1,2
20250515-061621,65,25
20250515-061622,80,57
20250515-061623,71,64
20250515-061624,94,29
20250515-061625,31,94
20250515-061626,98,29
20250515-061627,41,85
20250515-061628,6,70
20250515-061629,1,67
20250515-061630,4,95
20250515-061631,46,27
20250515-061632,30,50
20250515-061633,61,46
20250515-061634,98,13
20250515-061635,28,53
