time,ir,red
20250515-153356,75,94
20250515-153357,29,83
20250515-153358,55,77
20250515-153359,56,88
20250515-153400,33,61
20250515-153401,3,84
20250515-153402,19,95
20250515-153403,96,86
20250515-153404,56,69
20250515-153405,85,5
20250515-153406,12,95
20250515-153407,97,13
20250515-153408,40,86
20250515-153409,44,20
20250515-153410,67,47
20250515-153411,4,92
20250515-153412,47,28
20250515-153413,8,29
20250515-153414,2,84
20250515-153415,56,39
20250515-153416,94,6
20250515-153417,72,25
20250515-153418,95,53
20250515-153419,51,87
20250515-153420,96,13
20250515-153421,26,17
20250515-153422,39,62
20250515-153423,61,30
20250515-153424,0,8
20250515-153425,67,78
