time,ir,red
20250515-151722,12,51
20250515-151723,46,38
20250515-151724,89,84
20250515-151725,24,80
20250515-151726,26,59
20250515-151727,25,28
20250515-151728,48,29
20250515-151729,36,45
20250515-151730,31,35
20250515-151731,61,64
20250515-151732,52,54
20250515-151733,7,51
20250515-151734,75,71
20250515-151735,78,93
20250515-151736,80,97
20250515-151737,1,5
20250515-151738,11,97
20250515-151739,81,97
20250515-151740,24,97
20250515-151741,81,14
20250515-151742,35,11
20250515-151743,72,37
20250515-151744,10,29
20250515-151745,68,33
20250515-151746,19,22
20250515-151747,97,36
20250515-151748,72,15
20250515-151749,53,72
20250515-151750,99,57
20250515-151751,54,76
