time,ir,red
20250515-061544,14,81
20250515-061545,15,78
20250515-061546,46,61
20250515-061547,54,87
20250515-061548,56,0
20250515-061549,75,14
20250515-061550,69,12
20250515-061551,15,50
20250515-061552,76,5
20250515-061553,86,36
20250515-061554,86,40
20250515-061555,63,68
20250515-061556,34,35
20250515-061557,88,75
20250515-061558,7,51
20250515-061559,4,0
20250515-061600,4,48
20250515-061601,60,66
20250515-061602,23,79
20250515-061603,47,82
20250515-061604,11,25
20250515-061605,74,74
20250515-061606,61,73
20250515-061607,59,31
20250515-061608,47,28
20250515-061609,67,3
20250515-061610,96,32
20250515-061611,36,8
20250515-061612,53,17
20250515-061613,2,0
